0
0,2486899
0,4817537
0,6845471
0,8443279
0,9510565
0,9980267
0,9822872
0,9048271
0,7705132
0,5877852
0,3681245
0,1253332
-0,1253332
-0,3681245
-0,5877852
-0,7705132
-0,9048271
-0,9822872
-0,9980267
-0,9510565
-0,8443279
-0,6845471
-0,4817537
-0,2486899
-2,449213E-16
0,2486899
0,4817537
0,6845471
0,8443279
0,9510565
0,9980267
0,9822872
0,9048271
0,7705132
0,5877852
0,3681245
0,1253332
-0,1253332
-0,3681245
-0,5877852
-0,7705132
-0,9048271
-0,9822872
-0,9980267
-0,9510565
-0,8443279
-0,6845471
-0,4817537
-0,2486899
-4,898425E-16
0,2486899
0,4817537
0,6845471
0,8443279
0,9510565
0,9980267
0,9822872
0,9048271
0,7705132
0,5877852
0,3681245
0,1253332
-0,1253332
-0,3681245
-0,5877852
-0,7705132
-0,9048271
-0,9822872
-0,9980267
-0,9510565
-0,8443279
-0,6845471
-0,4817537
-0,2486899
-7,347638E-16
0,2486899
0,4817537
0,6845471
0,8443279
0,9510565
0,9980267
0,9822872
0,9048271
0,7705132
0,5877852
0,3681245
0,1253332
-0,1253332
-0,3681245
-0,5877852
-0,7705132
-0,9048271
-0,9822872
-0,9980267
-0,9510565
-0,8443279
-0,6845471
-0,4817537
-0,2486899
